n,eph,per
543254,15.0929054,522.4611847
543254,10.8163756,601.3103076
543254,13.4288214,729.7509534
543254,12.4881084,522.7620336
543254,10.919004,519.0304891
543254,11.6661999,563.5897978
543254,13.0260509,704.4238743
543254,12.3565234,537.9562176
706231,12.8531482,986.563584
706231,15.3682064,1086.02618
706231,12.2031743,1155.3737906
706231,14.9927064,1023.4593435
706231,15.9486168,1063.2207564
706231,13.3867206,1271.6967518
706231,14.0187447,1158.5034351
706231,14.665678,1194.6136856
706231,20.1336001,1081.6096917
706231,13.6538883,1235.4742193
706231,15.5651543,1069.1232063
706231,12.0743061,1059.7101034
706231,15.1312493,1141.8860427
706231,13.8455074,1247.719962
706231,12.3624377,1243.3327235
706231,21.8262064,918.5155236
706231,14.1558344,1076.5903471
706231,13.2884199,1124.7733526
706231,14.5424161,974.0173536
706231,16.5796839,1073.4381272
918101,20.9699183,1767.5193914
918101,16.9147778,1758.6596445
918101,30.0471106,1725.1331203
918101,15.7100952,1525.3772515
918101,17.8464877,1688.3998815
918101,28.9315771,1758.3132462
918101,17.3149434,1684.0628787
918101,16.9452818,1673.191608
918101,18.7476822,1852.7120048
918101,16.582445,1710.74924
