seed,n,time
23,500,0.1033938
23,500,0.1241403
24,500,0.1051557
24,500,0.1070054
24,500,0.1055371
24,500,0.1080785
24,500,0.1061419
24,500,0.1151089
24,500,0.1346404
24,500,0.1056669
24,500,0.108287
24,500,0.1355308
25,500,0.1228403
25,500,0.1240867
25,500,0.1522479
25,500,0.1779448
25,500,0.1276986
25,500,0.1245025
25,500,0.130148
25,500,0.1264265
25,500,0.1510441
25,500,0.1305415
26,500,3.95093e-2
26,500,4.14384e-2
26,500,4.06793e-2
26,500,5.98047e-2
26,500,4.99405e-2
26,500,4.1437e-2
26,500,4.17038e-2
26,500,4.03174e-2
26,500,4.0567e-2
26,500,4.15859e-2
27,500,4.04751e-2
27,500,4.06417e-2
27,500,4.12915e-2
27,500,3.91321e-2
27,500,4.03022e-2
27,500,4.05405e-2
27,500,5.24916e-2
27,500,5.19434e-2
27,500,6.11675e-2
27,500,4.71763e-2
28,500,0.1962506
28,500,0.1760678
28,500,0.1817521
28,500,0.1781244
28,500,0.2126258
28,500,0.1831951
28,500,0.1864934
28,500,0.2088145
28,500,0.1754534
28,500,0.224693
29,500,0.1276515
29,500,0.1019263
29,500,0.1011699
29,500,0.1044907
29,500,0.104362
29,500,0.1047325
29,500,0.1086407
29,500,0.1601345
29,500,0.1101405
29,500,0.1542639
0,650,8.88831e-2
0,650,8.39811e-2
0,650,8.41026e-2
0,650,0.1392084
0,650,8.48729e-2
0,650,9.07847e-2
0,650,8.77012e-2
0,650,0.1123501
0,650,8.75239e-2
0,650,0.1142908
1,650,0.3798617
1,650,0.3791197
1,650,0.4455223
1,650,0.3843033
1,650,0.394411
1,650,0.4039301
1,650,0.3779524
1,650,0.4426607
1,650,0.3681192
1,650,0.4037371
2,650,9.06691e-2
2,650,0.1211492
2,650,9.40688e-2
2,650,0.1129364
2,650,0.1084425
2,650,9.22801e-2
2,650,0.1320026
2,650,0.1181925
2,650,0.1113027
2,650,0.1266613
3,650,0.121357
3,650,0.1696719
3,650,0.1281996
3,650,0.1201727
3,650,0.1388591
3,650,0.129545
3,650,0.1559526
3,650,0.1187136
3,650,0.1191483
3,650,0.1482465
4,650,0.1200269
4,650,0.1467557
4,650,0.1526092
4,650,0.1176999
4,650,0.1491747
4,650,0.1640558
