seed,n,eph,per
27,10000,3.88229e-2,1.0028786
27,10000,3.87111e-2,0.906842
27,10000,3.52682e-2,0.9744686
27,10000,3.85276e-2,1.0199036
28,10000,3.76567e-2,1.0548957
28,10000,4.71262e-2,1.0202654
28,10000,3.59469e-2,1.0080312
28,10000,2.56111e-2,0.9914143
28,10000,3.02475e-2,0.8827165
28,10000,4.07944e-2,0.9743596
28,10000,6.35363e-2,1.0316887
28,10000,5.75049e-2,0.990773
28,10000,6.4254e-2,0.9927024
28,10000,2.51489e-2,1.0798363
29,10000,2.48674e-2,1.1754987
29,10000,2.50781e-2,1.2712116
29,10000,6.13465e-2,1.0289256
29,10000,5.33059e-2,1.1021951
29,10000,2.78307e-2,1.2274325
29,10000,3.6949e-2,1.028878
29,10000,2.54249e-2,0.9223397
29,10000,2.73142e-2,1.0983686
29,10000,2.59133e-2,1.025172
29,10000,2.63065e-2,0.8902422
0,13000,5.05775e-2,1.4720362
0,13000,3.3981e-2,1.222735
0,13000,3.41269e-2,1.292807
0,13000,3.412e-2,1.3128416
0,13000,3.39123e-2,1.3228977
0,13000,3.81965e-2,1.5670365
0,13000,4.23012e-2,1.5219591
0,13000,3.54996e-2,1.3723795
0,13000,6.05202e-2,1.2998397
0,13000,3.40787e-2,1.4682587
1,13000,3.31141e-2,1.2684668
1,13000,7.41621e-2,1.3994212
1,13000,3.19114e-2,1.2612324
1,13000,6.40908e-2,1.277835
1,13000,8.97158e-2,1.2564263
1,13000,4.47281e-2,1.2381174
1,13000,3.50432e-2,1.2174842
1,13000,6.39346e-2,1.3341436
1,13000,5.91027e-2,1.4238771
1,13000,3.58628e-2,1.3639017
2,13000,4.12751e-2,1.3181109
2,13000,4.194e-2,1.3396718
2,13000,3.43691e-2,1.2226852
2,13000,3.38438e-2,1.2259686
2,13000,4.87238e-2,1.51474
2,13000,5.46264e-2,1.3137853
2,13000,3.33806e-2,1.3302464
2,13000,3.4872e-2,1.4424665
2,13000,3.75597e-2,1.3569134
2,13000,3.99205e-2,1.1544262
3,13000,4.38801e-2,1.2982548
3,13000,4.24716e-2,1.1743514
