n,per,splits
432,206552,140
433,207232,142
434,207672,142
435,208112,142
436,208552,142
437,209112,143
438,209552,143
439,209992,143
440,210432,143
441,210992,144
442,211432,144
443,211872,144
444,212312,144
445,212872,145
446,213312,145
447,213752,145
448,214192,145
449,214992,148
450,215432,148
451,215872,148
452,216312,148
453,216872,149
454,217312,149
455,217752,149
456,218192,149
457,218752,150
458,219192,150
459,219632,150
460,220072,150
461,220632,151
462,221072,151
463,221512,151
464,221952,151
